Company,City,Name,Date,Review
Группа Охранных Организаций Дружина,RND,Сергей,27 июля 2020,"Есть такая древняя китайская поговорка Друг познается в Беде !  Так вот охранное предприятие дружина Вам не друг !  Их задача развести Вас на деньги , а дальше трава не расти ! Наглядно тому пример недавний карантин ! Как известно он ударил по большинству предприятий, и в минимальной степени по охранным предприятиям, а скорее всего даже наоборот ! Так как все было повально закрыто, необходимо все это было охранять ! Так вот естественно наша организация которую обслуживает данное охранное предприятие тоже было закрыто на карантин. Естественно прибыли ноль, и платить нечем. Через какое то время начались звонки с настоятельной просьбой все оплатить, объяснили ситуацию, ну вроде поняли ! Как оказалось не надолго ! Начались звонки чуть ли не с угрозами подачи в суд и т.д. Не успели мы открыться после карантина , позвонил представитель данного ЧОП и бился в истерике что мы им должны денег. Прислали даже письмо до судебную претензию ! Мы конечно все оплатили и не потому что боимся судебных разбирательств,  а потому что мы порядочные люди !  Но, как говорится осадок остался ! С большим удовольствием поменяем в ближайшее время данное ЧОП на ЛЮБОЕ другое, пусть даже с более дорогим обслуживаем. Ищите господа более адекватных людей, берегите свои нервы)"
Группа Охранных Организаций Дружина,RND,Алексей К.,31 марта,Подключили дом под охрану Дружины. Нормальные вежливые ребята. Приезжали пару раз по нашей ошибке. Ставили датчик  на вскрытие двери и движения. Мы решили  что 1200р в месяц очень гуманная цена спокойного  отдыха.
Группа Охранных Организаций Дружина,RND,Руслан Б.,16 августа,"Только купили квартиру в новострое, а соседей наших уже успели ограбить( Поэтому стал вопрос об охране квартиры. В Ростове-на-Дону мы совсем недавно, поэтому охранную компанию искали по отзывам. ""Дружина"" для нас оказалась самая подходящая, хорошая цена, быстрая установка сигнализации и приложение на телефон. Так как мы часто путешествуем, наше жилье остается без присмотра - теперь нам гораздо спокойней."
Группа Охранных Организаций Дружина,RND,наталья н.,13 апреля 2020,"Находясь на всеобщем карантине, наконец, дошли руки до поиска охранной сигнализации для дома, нашла Дружину. Ребята молодцы, приехали быстро и всё качественно подключили уже на следующий день. Спасибо, что такая компания продолжает работать даже сейчас!"
Группа Охранных Организаций Дружина,RND,Юлия А.,20 июля 2020,"Наш дом стоит под охраной ""дружины"" и недавно у нас 
 вырубился свет, из-за этого случайно включилась сигнализация. Мы даже не успели ничего понять, как сотрудники уже приехали к нам, еще до включения света, минут за пять. Ругаться не стали, сказали, что у многих бывают ложные вызовы по-случайности, отключили сигнал и уехали. Так что благодаря такому случаю, я теперь спокоен и уверен, что в экстренной ситуации они приедут так же быстро и оперативно"
Группа Охранных Организаций Дружина,RND,Дмитрий З.,1 августа,"Дружина — достойная замена сотрудникам нацгвардии. Сам был свидетелем их умелых действий по нейтрализации правонарушителя, проникшего в квартиру соседей. Ничего лишнего, лишь фиксация до приезда полиции, несмотря на постоянные провокации задержанного. Приятно сознавать, что находишься под охраной таких умелых и хладнокровных профессионалов."
Группа Охранных Организаций Дружина,RND,Даня М.,19 июня 2020,"Имел печальный опыт сотрудничества с данной организацией. Звонил подключить магазин на охрану, по телефону соединили с мужчиной, который полуматом ответил, что он не менеджер и ему некогда говорить.
В третьего раза дозвонился менеджеру. Толком мне ничего объяснить не смогли ни про оборудование, ни про условия охраны. В итоге выбрал другую охранную компанию, охраной пока доволен!"
Группа Охранных Организаций Дружина,RND,АРТЁМ Г.,16 августа,"Чтобы спокойно отдыхать во время отпуска, подключили себе систему охраны Аякс. Защищает от пожара, затопления, краж. Датчики движения делают фотофиксацию и моментально отправляют ее вам, одновременно оповещая охрану ""Дружина"". Теперь мы спокойны - в любой чрезвычайной ситуации к нам выедет группа быстрого реагирования."
Группа Охранных Организаций Дружина,RND,Максим Л.,4 апреля,"Надежная компания! Не жалею, что установил сигнализацию. Пару месяцев назад ко мне в квартиру забрался вор, когда я был в командировке. И сотрудники приехали очень быстро, даже успели его скрутить и передать полиции. Мне рассказали, что он пытался убежать, да не удалось)) Всем рекомендую, под защитой как-то спокойнее."
Группа Охранных Организаций Дружина,RND,Елена К.,28 ноября 2019,"Считаю, что охранное предприятие в первую очередь следует оценивать по тому, насколько качественно она предоставляет свои услуги и довольны ли клиенты их работой. Я часто езжу по командировкам и поэтому обратилась в эту кампанию для того чтобы они установили у меня дома сигнализацию и систему видеонаблюдения. Могу сказать со своей работой справляются отлично и оперативно! Рекомендую всем!!!"
